"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","613","test_tc_tb_man_02[manager_test_case0]","tests","Fri Aug 15 19:12:35 BDT 2025","passed","Fri Aug 15 19:12:36 BDT 2025","","test_TC_TB_MAN_05","",""
"","1356","test_tc_tb_cust_03[customer_test_case0]","tests","Fri Aug 15 19:10:36 BDT 2025","passed","Fri Aug 15 19:10:37 BDT 2025","","test_TC_TB_CUST_03","",""
"","1276","test_tc_tb_man_03[manager_test_case0]","tests","Fri Aug 15 19:12:08 BDT 2025","passed","Fri Aug 15 19:12:09 BDT 2025","","test_TC_TB_MAN_03","",""
"","735","test_tc_tb_cust_02[customer_test_case0]","tests","Fri Aug 15 19:10:28 BDT 2025","passed","Fri Aug 15 19:10:29 BDT 2025","","test_TC_TB_CUST_02","",""
"","719","test_tc_tb_cust_05[customer_test_case0]","tests","Fri Aug 15 19:11:17 BDT 2025","passed","Fri Aug 15 19:11:18 BDT 2025","","test_TC_TB_CUST_05","",""
"","826","test_tc_tb_cust_04[customer_test_case0]","tests","Fri Aug 15 19:10:53 BDT 2025","passed","Fri Aug 15 19:10:54 BDT 2025","","test_TC_TB_CUST_04","",""
"","685","test_tc_tb_man_01[manager_test_case0]","tests","Fri Aug 15 19:11:35 BDT 2025","passed","Fri Aug 15 19:11:36 BDT 2025","","test_TC_TB_MAN_01","",""
"","1881","test_tc_tb_cust_01[customer_test_case0]","tests","Fri Aug 15 19:10:19 BDT 2025","passed","Fri Aug 15 19:10:21 BDT 2025","","test_TC_TB_CUST_01","",""
"","629","test_tc_tb_man_04[manager_test_case0]","tests","Fri Aug 15 19:12:20 BDT 2025","passed","Fri Aug 15 19:12:21 BDT 2025","","test_TC_TB_MAN_04","",""
"","2782","test_tc_tb_man_02[manager_test_case0]","tests","Fri Aug 15 19:11:48 BDT 2025","passed","Fri Aug 15 19:11:51 BDT 2025","","test_TC_TB_MAN_02","",""
